uf,municipio,desastre,decreto_estadual,data_estadual,processo,data_dou,link,cobrade,slug,geocodigo,municipiocod_TSE,semana,ano
PA,Rondon do Pará,Erosão Continental - Ravinas - 1.1.4.3.2,124,28/11/2018,59051.006293/2018-13,07/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-1-de-4-de-janeiro-de-2019-58029130,1.1.4.3.2,rondon-do-para-pa,1506187,5738,2,2019
CE,Pedra Branca,Seca - 1.4.2.1.0,15,25/10/2018,59051.006327/2018-70,07/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-1-de-4-de-janeiro-de-2019-58029130,1.4.2.1.0,pedra-branca-ce,2310506,15113,2,2019
BA,Iuiú,Enxurradas - 1.2.2.0.0,148,04/12/2018,59051.006292/2018-79,07/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-1-de-4-de-janeiro-de-2019-58029130,1.2.2.0.0,iuiu-ba,2917334,30660,2,2019
BA,Andaraí,Estiagem - 1.4.1.1.0,1764,05/11/2018,59051.006234/2018-45,07/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-1-de-4-de-janeiro-de-2019-58029130,1.4.1.1.0,andarai-ba,2901304,33251,2,2019
BA,Macarani,Enxurradas - 1.2.2.0.0,1132,03/12/2018,59051.006286/2018-11,07/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-1-de-4-de-janeiro-de-2019-58029130,1.2.2.0.0,macarani-ba,2919702,36951,2,2019
RS,Morro Redondo,Estiagem - 1.4.1.1.0,4541,26/11/2018,59051.006350/2018-64,07/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-1-de-4-de-janeiro-de-2019-58029130,1.4.1.1.0,morro-redondo-rs,4312450,86185,2,2019
CE,Madalena,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,madalena-ce,2307635,13021,3,2019
CE,Aracati,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,aracati-ce,2301109,13218,3,2019
CE,Assaré,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,assare-ce,2301604,13315,3,2019
CE,Tejuçuoca,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,tejucuoca-ce,2313351,13323,3,2019
CE,Tarrafas,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,tarrafas-ce,2313252,13366,3,2019
CE,Caririaçu,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,caririacu-ce,2303204,13633,3,2019
CE,Cariús,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,carius-ce,2303303,13650,3,2019
CE,Cascavel,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,cascavel-ce,2303501,13692,3,2019
CE,Catarina,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,catarina-ce,2303600,13714,3,2019
CE,Cedro,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,cedro-ce,2303808,13757,3,2019
CE,Crateús,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,crateus-ce,2304103,13838,3,2019
CE,Icó,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,ico-ce,2305407,14095,3,2019
CE,Irauçuba,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,iraucuba-ce,2306108,14230,3,2019
